100.024              9.569            -19.756
112.131              9.518            -21.880
125.915              9.472            -24.005
141.189              9.409            -26.742
158.511              9.323            -29.447
177.883              9.232            -32.417
199.489              9.102            -35.437
223.890              8.917            -38.347
251.271              8.652            -41.145
281.818              8.203            -44.157
316.277              7.621            -46.862
354.834              7.004            -49.301
398.047              6.323            -51.908
446.662              5.598            -54.170
501.238              4.842            -56.156
562.333              4.053            -57.786
630.878              3.260            -59.057
707.991              2.400            -60.385
794.418              1.547            -60.920
891.276              0.668            -61.666
1000.054             -0.234            -62.017
1122.057             -1.148            -61.660
1258.962             -2.048            -61.174
1412.630             -2.911            -60.616
1584.925             -3.751            -59.565
1778.267             -4.562            -58.045
1995.265             -5.374            -56.615
2238.713             -6.122            -54.724
2511.963             -6.848            -52.610
2818.368             -7.525            -50.428
3162.213             -8.186            -47.839
3548.153             -8.766            -45.093
3981.031             -9.276            -42.569
4466.809             -9.759            -39.645
5011.819            -10.174            -36.914
5623.326            -10.508            -34.365
6309.524            -10.828            -31.820
7079.542            -11.019            -29.736
7943.250            -11.302            -27.269
8912.571            -11.475            -25.099
9999.983            -11.627            -23.086
